DlangUI log file
2026-03-18 23:38:20.696 D  registerFont(MonoSpace,MS Gothic)
2026-03-18 23:38:20.696 D  registerFont(MonoSpace,MS Gothic)
2026-03-18 23:38:20.696 D  registerFont(MonoSpace,MS Gothic)
2026-03-18 23:38:20.696 D  registerFont(MonoSpace,MS Gothic)
2026-03-18 23:38:20.696 D  registerFont(MonoSpace,MS Gothic)
2026-03-18 23:38:20.696 D  registerFont(MonoSpace,MS Gothic)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,MS UI Gothic)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,MS UI Gothic)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,MS UI Gothic)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,MS UI Gothic)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,MS UI Gothic)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,MS UI Gothic)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,MS UI Gothic)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,MS PGothic)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,MS PGothic)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,MS PGothic)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,MS PGothic)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,MS PGothic)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,MS PGothic)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,MS PGothic)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,MV Boli)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,Myanmar Text)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,Nirmala UI)
2026-03-18 23:38:20.696 D  registerFont(SansSerif,Nirmala UI Semilight)
2026-03-18 23:38:20.697 D  registerFont(SansSerif,Nirmala Text)
2026-03-18 23:38:20.697 D  registerFont(SansSerif,Nirmala Text Semilight)
2026-03-18 23:38:20.697 D  registerFont(Serif,Palatino Linotype)
2026-03-18 23:38:20.697 D  registerFont(Serif,Palatino Linotype)
2026-03-18 23:38:20.697 D  registerFont(Serif,Palatino Linotype)
2026-03-18 23:38:20.697 D  registerFont(Serif,Palatino Linotype)
2026-03-18 23:38:20.697 D  registerFont(Serif,Palatino Linotype)
2026-03-18 23:38:20.697 D  registerFont(Serif,Palatino Linotype)
2026-03-18 23:38:20.697 D  registerFont(Serif,Palatino Linotype)
2026-03-18 23:38:20.697 D  registerFont(SansSerif,Sans Serif Collection)
